global_vendor_name,total_actions,total_dollars,percent_of_total_actions,percent_of_total_dollars,serialid
CHUGACH ALASKA CORPORATION,33,10965517.04,0.2546,0.0445,80
PROJECT ENHANCEMENT CORPORATION,42,10877606.20,0.3241,0.0441,81
NETGAIN CORPORATION,22,10792675.24,0.1698,0.0438,82
CHENEGA CORPORATION,45,10586956.67,0.3472,0.0429,83
FOSTER WHEELER USA CORPORATION (2450),6,10550000.00,0.0463,0.0428,84
MDU RESOURCES GROUP INC.,1,9751760.73,0.0077,0.0396,85
SIMMONS HAROLD C. FAMILY TRUST,3,9745175.00,0.0231,0.0395,86
SENTECH INC,46,9685957.69,0.3549,0.0393,87
H M TREASURY,8,9560505.33,0.0617,0.0388,88
THE BOEING COMPANY,11,9371238.80,0.0849,0.0380,89
PROJECT ASSISTANCE CORPORATION,54,9353228.73,0.4167,0.0379,90
EAGLE DESIGN INC.,64,8848847.93,0.4938,0.0359,91
EAGLE FACILITY MANAGEMENT SERVICES,11,8720895.00,0.0849,0.0354,92
SYSTEMATIC MANAGEMENT SERVICES INC.,42,8381788.24,0.3241,0.0340,93
LOGISTICS APPLICATIONS INC.,11,8376354.97,0.0849,0.0340,94
JOHNSON CONTROLS INC.,18,8358262.89,0.1389,0.0339,95
GOLDBELT INCORPORATED,2,8124856.00,0.0154,0.0330,96
VISIONARY SOLUTIONS LLC,6,7874692.00,0.0463,0.0319,97
MONTANA ECONOMIC REVITALIZATION & DEVELOPMENT INSTITUTE INC,11,7707931.51,0.0849,0.0313,98
S.E. INCORPORATED,1,7700000.00,0.0077,0.0312,99
QWEST COMMUNICATIONS INTERNATIONAL INC,20,7692721.58,0.1543,0.0312,100
